benchmark,task_id,sample_id,model,prompt_profile,temperature,top_p,max_tokens,endpoint_status,request_outcome,request_attempt_count,latency_seconds,response_choice_count,response_content_present,response_character_count,finish_reason,prompt_tokens,completion_tokens,total_tokens,http_status_class,response_parse_status,generation_status,extraction_status,candidate_file_available,compile_pass,correctness_pass,synth_pass,timing_status,area_metric_available,activity_metric_available,reference_area,generated_area,area_unit,reference_activity,generated_activity,activity_metric,area_score,activity_score,score,score_status,failure_category,toolchain_id,workload_id,notes
rfid_apbench,ap_001_idle_counter,1,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,47.80685629998334,1,True,715,stop,215,3307,3522,2xx,parsed,completed,passed,True,True,False,True,not_required,True,False,15.0,11.0,generic_cells,34.0,,total_signal_toggles,,,,invalid,simulation_failure,iverilog-vcd-yosys-generic,ap_001_idle_counter_default,generation and extraction completed; candidate simulation failed
rfid_apbench,ap_010_retry_timeout_fsm,1,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_empty,1,57.49299970001448,1,False,0,length,282,4096,4378,2xx,parsed,completed,failed,False,False,False,False,not_required,False,False,31.0,,generic_cells,34.0,,total_signal_toggles,,,,invalid,empty_response,iverilog-vcd-yosys-generic,ap_010_retry_timeout_fsm_default,empty response
rfid_apbench,ap_001_idle_counter,2,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,47.21995729999617,1,True,722,stop,215,3367,3582,2xx,parsed,completed,passed,True,True,False,True,not_required,True,False,15.0,13.0,generic_cells,34.0,,total_signal_toggles,,,,invalid,simulation_failure,iverilog-vcd-yosys-generic,ap_001_idle_counter_default,generation and extraction completed; candidate simulation failed
rfid_apbench,ap_010_retry_timeout_fsm,2,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_empty,1,57.46838219999336,1,False,0,length,282,4096,4378,2xx,parsed,completed,failed,False,False,False,False,not_required,False,False,31.0,,generic_cells,34.0,,total_signal_toggles,,,,invalid,empty_response,iverilog-vcd-yosys-generic,ap_010_retry_timeout_fsm_default,empty response
rfid_apbench,ap_001_idle_counter,3,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_empty,1,57.47533259994816,1,False,0,length,215,4096,4311,2xx,parsed,completed,failed,False,False,False,False,not_required,False,False,15.0,,generic_cells,34.0,,total_signal_toggles,,,,invalid,empty_response,iverilog-vcd-yosys-generic,ap_001_idle_counter_default,empty response
rfid_apbench,ap_010_retry_timeout_fsm,3,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_empty,1,57.50160960003268,1,False,0,length,282,4096,4378,2xx,parsed,completed,failed,False,False,False,False,not_required,False,False,31.0,,generic_cells,34.0,,total_signal_toggles,,,,invalid,empty_response,iverilog-vcd-yosys-generic,ap_010_retry_timeout_fsm_default,empty response
