task_id,sample_id,model,prompt_profile,generation_status,extraction_status,candidate_file_available,compile_pass,correctness_pass,synth_pass,timing_status,area_metric_available,activity_metric_available,reference_area,generated_area,reference_activity,generated_activity,area_score,activity_score,score,score_status,failure_category,notes
ap_001_idle_counter,1,qwen36-27b,neutral_baseline,completed,passed,True,True,False,True,not_required,True,False,15.0,13.0,34.0,,,,,invalid,simulation_failure,generation and extraction completed; candidate simulation failed
ap_001_idle_counter,2,qwen36-27b,neutral_baseline,completed,passed,True,True,False,True,not_required,True,False,15.0,13.0,34.0,,,,,invalid,simulation_failure,generation and extraction completed; candidate simulation failed
ap_001_idle_counter,3,qwen36-27b,neutral_baseline,completed,failed,False,False,False,False,not_required,False,False,15.0,,34.0,,,,,invalid,candidate_missing,no complete required top rtl_unit extracted
