benchmark,task_id,sample_id,model,prompt_profile,endpoint_status,generation_status,extraction_status,candidate_file_available,compile_pass,correctness_pass,synth_pass,timing_status,area_metric_available,activity_metric_available,reference_area,generated_area,area_unit,reference_activity,generated_activity,activity_metric,area_score,activity_score,score,score_status,failure_category,toolchain_id,workload_id,notes
rfid_apbench,ap_001_idle_counter,1,qwen36-27b,neutral_baseline,available,completed,failed,False,False,False,False,not_required,False,False,15.0,,generic_cells,34.0,,total_signal_toggles,,,,invalid,candidate_missing,iverilog-vcd-yosys-generic,ap_001_idle_counter_default,no complete required top rtl_unit extracted; candidate file missing
rfid_apbench,ap_002_command_decoder,1,qwen36-27b,neutral_baseline,available,completed,passed,True,True,True,True,not_required,True,True,15.0,15.0,generic_cells,20.0,20.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_002_command_decoder_default,generation and extraction completed
rfid_apbench,ap_003_register_bank_unnecessary_writes,1,qwen36-27b,neutral_baseline,available,completed,passed,True,True,True,True,not_required,True,True,15.0,13.0,generic_cells,23.0,23.0,total_signal_toggles,1.1538461538461537,1.0,1.0769230769230769,valid,passed,iverilog-vcd-yosys-generic,ap_003_register_bank_unnecessary_writes_default,generation and extraction completed
rfid_apbench,ap_004_crc_serial_parallel_tradeoff,1,qwen36-27b,neutral_baseline,available,completed,passed,True,True,True,True,not_required,True,True,6.0,5.0,generic_cells,27.0,39.0,total_signal_toggles,1.2,0.6923076923076923,0.9461538461538461,valid,passed,iverilog-vcd-yosys-generic,ap_004_crc_serial_parallel_tradeoff_default,generation and extraction completed
rfid_apbench,ap_005_fsm_controller_idle_activity,1,qwen36-27b,neutral_baseline,available,completed,passed,True,True,True,True,not_required,True,True,9.0,17.0,generic_cells,29.0,29.0,total_signal_toggles,0.5294117647058824,1.0,0.7647058823529411,valid,passed,iverilog-vcd-yosys-generic,ap_005_fsm_controller_idle_activity_default,generation and extraction completed
